Chi?u cao (mét),Cân n?ng (Kg) ví d?: 65,S? b?a ?n trong ngày,T?n su?t ?n sáng trong tu?n (??c tính bu?i/tu?n),T?n su?t ?n t?i (sau 21h) trong tu?n (??c tính b?a/tu?n),"T?n su?t s? d?ng th?c ?n nhanh nh? pizza, hamburger (??c tính b?a/tu?n)",L??ng rau c? tiêu th? trong m?i b?a ?n (??c tính gam/b?a ?n),L??ng n??c tiêu th? m?i ngày (??c tính lít/ngày),"Tiêu th? th?c ph?m giàu protein nh?: Th?t bò, th?t gà, phô mai, tr?ng, s?a... (??c tính gam/b?a ?n)",Th?i gian t?p th? d?c trong tu?n (??c tính gi?/tu?n),T?n su?t tham gia các ho?t ??ng th? d?c th? thao (??c tính gi?/tu?n),T?n su?t s? d?ng r??u bia và ?? u?ng có c?n,Hút thu?c lá và các lo?i thu?c ch?a nicotine,Th?i gian ng? trung bình m?i ngày (ti?ng/ngày),Yêu c?u v? ho?t ??ng th? ch?t (lao ??ng chân tay) trong công vi?c hi?n t?i,Khu v?c s?ng có công viên không,"Th?i gian s? d?ng thi?t b? công ngh? (?i?n tho?i, máy tính. laptop...) trong ngày (gi?/ngày)","Tr?m c?m, lo âu và các v?n ?? không ?n ??nh tâm lý"
1.50,33,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,8,2,Không,6,Không
1.50,41,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,8,2,Không,3,Không
1.50,36,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,8,2,Không,6,Không
1.67,43,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,8,3,Không,2,Không
1.68,60,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,7,1,Không,1,Không
1.51,35,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,7,2,Không,4,Không
1.58,47,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,D??i 1 gi?,G?n nh? không,Không,Không,7,3,Không,6,Có
1.53,55,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,D??i 1 gi?,G?n nh? không,Ít,Không,8,3,Không,1,Không
1.68,52,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Ít,Không,8,3,Không,6,Không
1.63,44,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,D??i 1 gi?,D??i 2 gi?,Ít,Không,8,1,Không,6,Không
1.60,48,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,Ít h?n 1 lít,Trên 100 gram,D??i 1 gi?,D??i 2 gi?,Trung bình,Không,7,3,Không,2,Không
1.56,49,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Trung bình,Không,8,3,Không,5,Không
1.62,62,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Trung bình,Không,8,2,Có,12,Không
1.55,52,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Ít,Không,8,1,Không,8,Không
1.60,62,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,Ít h?n 50 gram,Trên 3 gi?,Trên 4 gi?,Ít,Không,8,4,Không,4,Không
1.62,65,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Ít,Không,8,5,Không,4,Không
1.50,52,3,Không ?n,Không ?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,Trên 100 gram,D??i 1 gi?,G?n nh? không,Ít,Không,8,1,Có,5,Không
1.59,60,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Ít,Không,6,1,Không,2,Không
1.63,72,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Ít,Không,8,1,Không,3,Không
1.67,49,2,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Ít,Không,6,4,Không,4,Không
1.67,60,3,Không ?n,Không ?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,G?n nh? không,G?n nh? không,Ít,Không,6,4,Không,5,Không
1.72,58,2,Không ?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Ít,Không,8,1,Không,2,Không
1.64,47,2,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Ít,Không,10,2,Không,7,Không
1.52,40,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,8,3,Không,4,Không
1.56,50,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8,3,Không,6,Không
1.69,44,3,Không ?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,10,2,Không,5,Không
1.66,44,3,T? 3 - 6 b?a/tu?n,T? 3 - 6 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,7,3,Không,3,Không
1.75,60,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,9,3,Không,2,Không
1.53,40,4,M?i ngày,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 2 - 3 lít,Trên 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,7,3,Có,3,Không
1.66,50,3,M?i ngày,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,G?n nh? không,Không,Không,8,3,Không,1,Không
1.66,55,2,M?i ngày,Không ?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,8,3,Không,3,Không
1.51,48,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,7,2,Có,6,Không
1.66,79,2,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,5,3,Có,4,Có
1.69,53,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,Trên 4 gi?,Không,Không,8,4,Không,2,Không
1.76,80,3,M?i ngày,Không ?n,T? 3 - 6 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Có,10,2,Không,4,Không
1.62,72,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,G?n nh? không,Không,Không,7,4,Có,4,Không
1.70,54,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,T? 2 - 4 gi?,Ít,Không,8,3,Có,3,Không
1.73,95,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,Trên 100 gram,Trên 3 lít,Trên 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Th??ng xuyên,Không,7,3,Có,4,Không
1.64,52,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,Ít h?n 50 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,7,3,Không,6,Không
1.62,48,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Ít,Không,6,3,Không,4,Không
1.65,55,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,4,3,Không,5,Không
1.52,42,3,M?i ngày,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,5,2,Không,2,Có
1.61,60,2,Không ?n,Không ?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,Trên 100 gram,Trên 3 gi?,T? 2 - 4 gi?,Không,Không,6,3,Có,4,Không
1.65,45,3,M?i ngày,M?i ngày,Không ?n,Trên 100 gram,T? 1 - 2 lít,Trên 100 gram,G?n nh? không,G?n nh? không,Không,Không,8,1,Không,1,Không
1.60,46,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,M?i ngày,Trên 100 gram,T? 2 - 3 lít,Trên 100 gram,T? 1 - 3 gi?,G?n nh? không,Không,Không,6,3,Không,4,Không
1.70,50,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,6,3,Không,4,Không
1.80,48,3,M?i ngày,T? 1 - 3 b?a/tu?n,M?i ngày,Ít h?n 50 gram,Ít h?n 1 lít,Ít h?n 50 gram,G?n nh? không,D??i 2 gi?,Không,Không,11,4,Có,5,Không
1.72,67,5,M?i ngày,M?i ngày,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,6,3,Không,2,Không
1.66,53,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,10,4,Có,4,Có
1.60,66,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8,3,Có,4,Không
1.61,44,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,7,1,Không,4,Không
1.60,57,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,9,2,Có,4,Không
1.66,65,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,Trên 100 gram,T? 1 - 3 gi?,G?n nh? không,Không,Không,8,3,Không,3,Không
1.61,60,3,M?i ngày,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,Trên 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,8,3,Có,4,Có
1.72,57,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,G?n nh? không,Không,Không,8,3,Không,5,Không
1.65,41,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Ít,Không,7,3,Không,10,Không
1.67,76,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8,3,Không,4,Không
1.72,49,3,T? 3 - 6 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,6,2,Không,5,Không
1.69,50,2,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,Ít h?n 50 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,8,3,Không,4,Không
1.60,54,2,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,D??i 1 gi?,G?n nh? không,Không,Không,6,3,Có,5,Không
1.64,50,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,D??i 2 gi?,Không,Không,8,3,Không,6,Không
1.54,47,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,6,2,Có,3,Không
1.54,39,2,T? 1 - 3 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,10,2,Không,7,Không
1.52,51,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,Trên 3 gi?,T? 2 - 4 gi?,Không,Không,5,5,Có,3,Không
1.49,40,3,M?i ngày,Không ?n,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Ít,Không,10,2,Không,6,Không
1.60,47,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,10,3,Không,4,Không
1.73,59,3,M?i ngày,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,Trên 3 gi?,T? 2 - 4 gi?,Không,Không,8,2,Không,4,Không
1.63,49,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,G?n nh? không,Không,Không,6,3,Không,3,Không
1.60,48,2,Không ?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,4,1,Có,12,Không
1.60,51,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Không,Không,7,1,Có,5,Không
1.80,55,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,8,3,Có,4,Không
1.63,58,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Ít,Không,6,2,Không,6,Không
1.67,90,3,M?i ngày,Không ?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,6,1,Không,3,Không
1.69,57,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,6,2,Có,3,Không
1.63,44,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,7,3,Có,10,Không
1.67,44,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,Trên 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,8,3,Có,8,Không
1.50,45,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,7,3,Không,10,Không
1.66,54,4,M?i ngày,M?i ngày,Không ?n,Trên 100 gram,T? 1 - 2 lít,Trên 100 gram,Trên 3 gi?,T? 2 - 4 gi?,Không,Không,7,3,Không,4,Không
1.72,55,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 2 - 3 lít,Trên 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Trung bình,Không,8,3,Không,1,Không
1.64,53,3,T? 3 - 6 b?a/tu?n,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Trên 3 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,6,1,Không,2,Không
1.65,46,3,Không ?n,Không ?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,Trên 100 gram,Trên 3 gi?,T? 2 - 4 gi?,Không,Không,6,2,Không,4,Không
1.73,55,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,7,3,Có,10,Không
1.69,56,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,6,3,Không,2,Không
1.82,53,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Trên 3 lít,Trên 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,8,3,Không,3,Có
1.65,47,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 1 - 2 lít,Ít h?n 50 gram,D??i 1 gi?,Trên 4 gi?,Ít,Không,8,2,Không,4,Không
1.56,45,3,M?i ngày,M?i ngày,Không ?n,T? 50 - 100 gram,T? 2 - 3 lít,Trên 100 gram,Trên 3 gi?,T? 2 - 4 gi?,Không,Không,9,3,Không,3,Không
1.60,52,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 2 - 3 lít,Trên 100 gram,T? 1 - 3 gi?,G?n nh? không,Không,Không,5,3,Không,10,Không
1.64,63,4,M?i ngày,T? 3 - 6 b?a/tu?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,Trên 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,8,4,Có,4,Không
1.61,54,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,Ít h?n 50 gram,Trên 3 gi?,T? 2 - 4 gi?,Không,Không,7,3,Không,8,Không
1.50,45,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,7,2,Không,5,Không
1.62,52,2,Không ?n,Không ?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,D??i 2 gi?,Không,Không,8,3,Không,5,Không
1.63,44,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,8,2,Không,7,Không
1.50,40,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,8,3,Không,2,Không
1.58,41,3,T? 1 - 3 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,Ít h?n 1 lít,Trên 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,7,2,Không,7,Không
1.47,40,3,M?i ngày,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,7,2,Không,7,Không
1.50,43,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,Trên 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,D??i 2 gi?,Không,Không,10,3,Không,2,Không
1.73,54,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,Ít h?n 50 gram,T? 2 - 3 lít,T? 50 - 100 gram,D??i 1 gi?,T? 2 - 4 gi?,Không,Không,7,2,Có,5,Không
1.53,46,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,Trên 3 gi?,G?n nh? không,Không,Không,5,3,Có,3,Có
1.56,68,3,M?i ngày,T? 1 - 3 b?a/tu?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,G?n nh? không,Ít,Không,7,1,Không,5,Không
1.57,54,3,M?i ngày,Không ?n,Không ?n,Trên 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Ít,Không,6,3,Không,3,Không
1.63,38,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,8,3,Không,1,Không
1.53,52,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,8,1,Không,4,Không
1.82,58,3,M?i ngày,M?i ngày,M?i ngày,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Ít,Không,8,3,Không,8,Không
1.64,57,3,M?i ngày,T? 3 - 6 b?a/tu?n,Không ?n,Trên 100 gram,T? 2 - 3 lít,T? 50 - 100 gram,Trên 3 gi?,T? 2 - 4 gi?,Không,Không,8,3,Không,3,Không
1.62,50,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Ít,Không,6,2,Không,4,Không
1.65,50,3,M?i ngày,Không ?n,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,8,3,Không,5,Không
1.67,68,5,M?i ngày,M?i ngày,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,Trên 3 lít,Trên 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,8,5,Không,8,Có
1.56,53,3,T? 3 - 6 b?a/tu?n,M?i ngày,T? 3 - 6 b?a/tu?n,T? 50 - 100 gram,Ít h?n 1 lít,T? 50 - 100 gram,G?n nh? không,G?n nh? không,Ít,Không,6,3,Không,6,Không
1.51,44,3,M?i ngày,T? 3 - 6 b?a/tu?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Ít,Không,8,3,Không,4,Không
1.48,43,3,M?i ngày,Không ?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Ít,Không,6,3,Không,2,Không
1.61,45,3,T? 3 - 6 b?a/tu?n,Không ?n,Không ?n,Ít h?n 50 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,8,3,Không,2,Không
1.55,39,3,T? 3 - 6 b?a/tu?n,T? 1 - 3 b?a/tu?n,Không ?n,T? 50 - 100 gram,Ít h?n 1 lít,Trên 100 gram,Trên 3 gi?,G?n nh? không,Không,Không,7,2,Không,4,Không
1.71,56,3,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,Trên 100 gram,T? 1 - 3 gi?,T? 2 - 4 gi?,Không,Không,7,3,Không,4,Không
1.56,50,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,T? 50 - 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,T? 1 - 3 gi?,D??i 2 gi?,Không,Không,8,2,Không,4,Không
1.50,47,3,M?i ngày,Không ?n,T? 1 - 3 b?a/tu?n,Trên 100 gram,T? 1 - 2 lít,T? 50 - 100 gram,D??i 1 gi?,G?n nh? không,Không,Không,11,3,Không,3,Không
1.60,50,3,M?i ngày,Không ?n,Không ?n,Trên 100 gram,T? 1 - 2 lít,Trên 100 gram,Trên 3 gi?,D??i 2 gi?,Không,Không,11,5,Không,1,Không
1.58,52,3,M?i ngày,T? 3 - 6 b?a/tu?n,Không ?n,Ít h?n 50 gram,Ít h?n 1 lít,Trên 100 gram,G?n nh? không,G?n nh? không,Không,Không,7,1,Không,3,Không
